Year,AlcoholConsumption,Age,Area
2010,11.3,15,Croatia
2011,11.2,15,Croatia
2012,11.1,15,Croatia
2013,10.6,15,Croatia
2014,10.3,15,Croatia
2015,10.2,15,Croatia
2016,10.3,15,Croatia
2017,10.2,15,Croatia
2018,10.1,15,Croatia
2019,10.1,15,Croatia
2020,9,15,Croatia
2010,8.6,15,United States
2011,8.7,15,United States
2012,8.9,15,United States
2013,8.8,15,United States
2014,8.8,15,United States
2015,8.8,15,United States
2016,8.9,15,United States
2017,8.9,15,United States
2018,8.9,15,United States
2019,9,15,United States
2020,9.2,15,United States
2021,9.5,15,United States
2010,10.3,15,Slovenia
2011,10.6,15,Slovenia
2012,11,15,Slovenia
2013,9.5,15,Slovenia
2014,10.9,15,Slovenia
2015,11.5,15,Slovenia
2016,10.5,15,Slovenia
2017,10.1,15,Slovenia
2018,10,15,Slovenia
2019,11.1,15,Slovenia
2020,9.8,15,Slovenia
2021,10.6,15,Slovenia
2022,10,15,Slovenia
2010,10.8,15,Denmark
2011,11,15,Denmark
2012,9.8,15,Denmark
2013,10,15,Denmark
2014,10.1,15,Denmark
2015,9.9,15,Denmark
2016,10,15,Denmark
2017,9.7,15,Denmark
2018,9.7,15,Denmark
2019,9.5,15,Denmark
2020,9.7,15,Denmark
2021,10.4,15,Denmark
2022,9.5,15,Denmark
2010,11.6,15,Germany
2011,11.3,15,Germany
2012,11.3,15,Germany
2013,11.1,15,Germany
2014,11.1,15,Germany
2015,11.1,15,Germany
2016,11,15,Germany
2017,10.9,15,Germany
2018,10.9,15,Germany
2019,10.6,15,Germany
2010,9.7,15,Finland
2011,9.8,15,Finland
2012,9.3,15,Finland
2013,9.1,15,Finland
2014,8.8,15,Finland
2015,8.5,15,Finland
2016,8.4,15,Finland
2017,8.4,15,Finland
2018,8.4,15,Finland
2019,8.2,15,Finland
2020,8.2,15,Finland
2021,8.1,15,Finland
2022,7.6,15,Finland
2010,9.8,15,Latvia
2011,10.1,15,Latvia
2012,10.2,15,Latvia
2013,10.4,15,Latvia
2014,10.6,15,Latvia
2015,10.8,15,Latvia
2016,11.3,15,Latvia
2017,10.9,15,Latvia
2018,11,15,Latvia
2019,11.6,15,Latvia
2020,12.1,15,Latvia
2021,12.2,15,Latvia
2022,11.9,15,Latvia
2010,7.2,15,South Africa
2011,7.3,15,South Africa
2012,7.5,15,South Africa
2013,7.5,15,South Africa
2014,7.5,15,South Africa
2015,7.5,15,South Africa
2016,7.4,15,South Africa
2017,7.3,15,South Africa
2018,7.4,15,South Africa
2019,7.4,15,South Africa
2020,5.7,15,South Africa
2010,12.3,15,France
2011,12.4,15,France
2012,12.2,15,France
2013,11.6,15,France
2014,12,15,France
2015,11.9,15,France
2016,11.7,15,France
2017,11.7,15,France
2018,11.6,15,France
2019,11.4,15,France
2020,10.4,15,France
2021,10.6,15,France
2022,10.8,15,France
2010,8.9,15,Korea
2011,8.9,15,Korea
2012,9,15,Korea
2013,8.7,15,Korea
2014,8.9,15,Korea
2015,9.1,15,Korea
2016,8.7,15,Korea
2017,8.7,15,Korea
2018,8.5,15,Korea
2019,8.3,15,Korea
2020,7.9,15,Korea
2021,7.7,15,Korea
2022,8,15,Korea
2010,11.9,15,Luxembourg
2011,11.8,15,Luxembourg
2012,11.8,15,Luxembourg
2013,11.4,15,Luxembourg
2014,11.6,15,Luxembourg
2015,11.5,15,Luxembourg
2016,11.4,15,Luxembourg
2017,11.3,15,Luxembourg
2018,11.1,15,Luxembourg
2019,11,15,Luxembourg
2010,10.4,15,Australia
2011,10.1,15,Australia
2012,10,15,Australia
2013,9.9,15,Australia
2014,9.8,15,Australia
2015,10.1,15,Australia
2016,10.1,15,Australia
2017,10.2,15,Australia
2018,10.3,15,Australia
2019,10.1,15,Australia
2010,6.8,15,Iceland
2011,6.8,15,Iceland
2012,6.8,15,Iceland
2013,6.8,15,Iceland
2014,7,15,Iceland
2015,7.7,15,Iceland
2016,7.5,15,Iceland
2017,7.7,15,Iceland
2018,7.7,15,Iceland
2019,7.4,15,Iceland
2020,7.4,15,Iceland
2010,8.5,15,Ukraine
2011,8.4,15,Ukraine
2012,8.7,15,Ukraine
2013,8.3,15,Ukraine
2014,7.5,15,Ukraine
2015,6.5,15,Ukraine
2016,5.7,15,Ukraine
2017,5.5,15,Ukraine
2018,5.5,15,Ukraine
2019,5.5,15,Ukraine
