Year,AlcoholConsumption,Area
2010,11.3,Croatia
2011,11.2,Croatia
2012,11.1,Croatia
2013,10.6,Croatia
2014,10.3,Croatia
2015,10.2,Croatia
2016,10.3,Croatia
2017,10.2,Croatia
2018,10.1,Croatia
2019,10.1,Croatia
2020,9,Croatia
2022,6.8,Japan
2010,10.1,Slovak Republic
2011,10.2,Slovak Republic
2012,10.1,Slovak Republic
2013,9.9,Slovak Republic
2014,10.1,Slovak Republic
2015,10.2,Slovak Republic
2016,9.9,Slovak Republic
2017,9.7,Slovak Republic
2018,10.1,Slovak Republic
2019,10.3,Slovak Republic
2020,10.2,Slovak Republic
2021,9.6,Slovak Republic
2022,9.5,Slovak Republic
2010,13.5,Lithuania
2011,14.7,Lithuania
2012,14.7,Lithuania
2013,14.5,Lithuania
2014,14.2,Lithuania
2015,14,Lithuania
2016,13.2,Lithuania
2017,12.3,Lithuania
2018,11.2,Lithuania
2019,11.1,Lithuania
2020,11.4,Lithuania
2021,12.1,Lithuania
2022,11.2,Lithuania
2010,11.3,Portugal
2011,10.9,Portugal
2012,9.8,Portugal
2013,9.5,Portugal
2014,10.2,Portugal
2015,10.3,Portugal
2016,10.4,Portugal
2017,10.4,Portugal
2018,10.4,Portugal
2019,10.4,Portugal
2010,8.4,Canada
2011,8.2,Canada
2012,8.3,Canada
2013,8.2,Canada
2014,8,Canada
2015,8,Canada
2016,8.1,Canada
2017,8.2,Canada
2018,8.2,Canada
2019,8,Canada
2020,8.1,Canada
2021,8.3,Canada
2022,8.1,Canada
2010,7.4,Sweden
2011,7.3,Sweden
2012,7.2,Sweden
2013,7.3,Sweden
2014,7.2,Sweden
2015,7.1,Sweden
2016,7.2,Sweden
2017,7,Sweden
2018,7.2,Sweden
2019,7.1,Sweden
2020,7.5,Sweden
2021,7.6,Sweden
2022,7.5,Sweden
2010,10.1,United Kingdom
2011,9.9,United Kingdom
2012,9.6,United Kingdom
2013,9.4,United Kingdom
2014,9.4,United Kingdom
2015,9.5,United Kingdom
2016,9.5,United Kingdom
2017,9.7,United Kingdom
2018,9.8,United Kingdom
2019,9.7,United Kingdom
2020,9.7,United Kingdom
2021,10,United Kingdom
2022,9.9,United Kingdom
2010,10,Poland
2011,10.3,Poland
2012,10.2,Poland
2013,10.8,Poland
2014,10.5,Poland
2015,10.5,Poland
2016,10.5,Poland
2017,10.6,Poland
2018,10.7,Poland
2019,11,Poland
2020,10.9,Poland
2021,11,Poland
2010,10,Bulgaria
2011,10.2,Bulgaria
2012,10.4,Bulgaria
2013,10.5,Bulgaria
2014,10.6,Bulgaria
2015,10.9,Bulgaria
2016,11.1,Bulgaria
2017,11.3,Bulgaria
2018,11.4,Bulgaria
2019,11.4,Bulgaria
2020,11.1,Bulgaria
2010,9.6,New Zealand
2011,9.5,New Zealand
2012,9.2,New Zealand
2013,9.2,New Zealand
2014,9.1,New Zealand
2015,8.7,New Zealand
2016,8.9,New Zealand
2017,8.8,New Zealand
2018,8.8,New Zealand
2019,8.8,New Zealand
2020,8.7,New Zealand
2021,8.8,New Zealand
2022,8.7,New Zealand
2023,8.2,New Zealand
2010,9.7,Switzerland
2011,9.5,Switzerland
2012,9.3,Switzerland
2013,9.3,Switzerland
2014,9.1,Switzerland
2015,8.9,Switzerland
2016,8.7,Switzerland
2017,8.6,Switzerland
2018,8.5,Switzerland
2019,8.7,Switzerland
2020,8.5,Switzerland
2021,8.5,Switzerland
2022,8.4,Switzerland
2013,11.6,France
2014,12,France
2015,11.9,France
2016,11.7,France
2017,11.7,France
2018,11.6,France
2019,11.4,France
2020,10.4,France
2021,10.6,France
2022,10.8,France
2010,8.9,Korea
2011,8.9,Korea
2012,9,Korea
2013,8.7,Korea
2014,8.9,Korea
2015,9.1,Korea
2016,8.7,Korea
2017,8.7,Korea
2018,8.5,Korea
2019,8.3,Korea
2020,7.9,Korea
2021,7.7,Korea
2022,8,Korea
2010,11.9,Luxembourg
2011,11.8,Luxembourg
2012,11.8,Luxembourg
2013,11.4,Luxembourg
2014,11.6,Luxembourg
2015,11.5,Luxembourg
2016,11.4,Luxembourg
2017,11.3,Luxembourg
2018,11.1,Luxembourg
2019,11,Luxembourg
2010,10.4,Australia
2011,10.1,Australia
2012,10,Australia
2013,9.9,Australia
2014,9.8,Australia
2015,10.1,Australia
2016,10.1,Australia
2017,10.2,Australia
2018,10.3,Australia
2019,10.1,Australia
2010,6.8,Iceland
2011,6.8,Iceland
2012,6.8,Iceland
2013,6.8,Iceland
2014,7,Iceland
2015,7.7,Iceland
2016,7.5,Iceland
2017,7.7,Iceland
2018,7.7,Iceland
2019,7.4,Iceland
2020,7.4,Iceland
2010,8.5,Ukraine
2011,8.4,Ukraine
2012,8.7,Ukraine
2013,8.3,Ukraine
2014,7.5,Ukraine
2015,6.5,Ukraine
2016,5.7,Ukraine
2017,5.5,Ukraine
2018,5.5,Ukraine
2019,5.5,Ukraine
2020,6.1,Ukraine
2010,2.7,India
2011,2.9,India
2012,3,India
2013,3,India
2014,3,India
2015,3,India
2016,2.9,India
2017,2.9,India
2018,3,India
2019,3,India
2020,2.4,India
2010,11.4,Estonia
2011,12,Estonia
2012,12.1,Estonia
2013,11.9,Estonia
2014,11.1,Estonia
2015,10.6,Estonia
2016,10.2,Estonia
2017,10.3,Estonia
2018,10,Estonia
2019,10.4,Estonia
2020,10.8,Estonia
2021,11.1,Estonia
2022,11.2,Estonia
2010,1.5,Türkiye
2011,1.5,Türkiye
2012,1.6,Türkiye
2013,1.4,Türkiye
2014,1.5,Türkiye
2015,1.4,Türkiye
2016,1.3,Türkiye
2017,1.4,Türkiye
2018,1.4,Türkiye
2019,1.3,Türkiye
2020,1.2,Türkiye
2021,1.4,Türkiye
2022,1.6,Türkiye
2010,10.3,Belgium
2011,10.1,Belgium
2012,10.1,Belgium
2013,10.3,Belgium
2014,10.6,Belgium
2015,10.4,Belgium
2016,9.4,Belgium
2017,9.3,Belgium
2018,9.2,Belgium
2019,9.2,Belgium
2010,9.1,Netherlands
2011,9,Netherlands
2012,9.1,Netherlands
2013,8.7,Netherlands
2014,8.4,Netherlands
2015,8.3,Netherlands
2016,8.2,Netherlands
2017,8.3,Netherlands
2018,8.3,Netherlands
2019,8.2,Netherlands
2020,7.8,Netherlands
2021,8.2,Netherlands
2022,8.5,Netherlands
2010,7.6,Chile
2011,7.1,Chile
2012,8.3,Chile
2013,7.2,Chile
