Year,Fat,Protein,Calories
2002,865.7,796.3,22746
2003,1113.4,845.3,24460
2004,1229.7,766,26370
2005,1222.8,730.8,26791
2006,893.5,715.4,22810
2007,762.2,617.8,19933
2008,1120,794,25107
2009,620.4,721.8,21214
2010,630.5,837.4,22990
2011,671.2,554.3,21478
2012,744,584.5,20901
2013,824.7,700,22081
2014,825.7,671.5,23109
2015,826.7,799.6,24618
2016,827.7,763.4,22334
2017,828.7,850.3,23095
2018,829.7,838.2,24709
2019,830.7,774,25253
2020,831.7,746.4,23693
2021,832.7,641.6,22990
2022,833.7,1022,25121
2023,834.7,470.3,17627
2024,835.7,516.3,20318
