Country,Sex,Year,Life_expectancy
Austria,Total,2015,81.3
Belgium,Total,2015,81.1
Czechia,Total,2015,78.7
Denmark,Total,2015,80.8
Estonia,Total,2015,78.0
Finland,Total,2015,81.6
France,Total,2015,82.4
Greece,Total,2015,81.1
Hungary,Total,2015,75.7
Iceland,Total,2015,82.5
Italy,Total,2015,82.7
Latvia,Total,2015,74.8
Lithuania,Total,2015,74.6
Luxembourg,Total,2015,82.4
Netherlands,Total,2015,81.6
Poland,Total,2015,77.5
Portugal,Total,2015,81.3
Slovak Republic,Total,2015,76.7
Slovenia,Total,2015,80.9
Spain,Total,2015,83.0
Sweden,Total,2015,82.2
Switzerland,Total,2015,83.0
Bulgaria,Total,2015,74.7
Croatia,Total,2015,77.5
Romania,Total,2015,74.9
Austria,Female,2015,83.7
Belgium,Female,2015,83.4
Czechia,Female,2015,81.6
Denmark,Female,2015,82.7
Estonia,Female,2015,82.2
Finland,Female,2015,84.4
France,Female,2015,85.6
Greece,Female,2015,83.7
Hungary,Female,2015,79.0
Iceland,Female,2015,83.8
Italy,Female,2015,84.9
Latvia,Female,2015,79.5
Lithuania,Female,2015,79.7
Luxembourg,Female,2015,84.7
Netherlands,Female,2015,83.2
Poland,Female,2015,81.6
Portugal,Female,2015,84.3
Slovak Republic,Female,2015,80.2
Slovenia,Female,2015,83.9
Spain,Female,2015,85.7
Sweden,Female,2015,84.1
Switzerland,Female,2015,85.1
Bulgaria,Female,2015,78.2
Croatia,Female,2015,80.5
Romania,Female,2015,78.6
Austria,Male,2015,78.8
Belgium,Male,2015,78.7
Czechia,Male,2015,75.7
Denmark,Male,2015,78.8
Estonia,Male,2015,73.2
Finland,Male,2015,78.7
France,Male,2015,79.2
Greece,Male,2015,78.5
Hungary,Male,2015,72.3
Iceland,Male,2015,81.2
Italy,Male,2015,80.3
Latvia,Male,2015,69.7
Lithuania,Male,2015,69.2
Luxembourg,Male,2015,80.0
Netherlands,Male,2015,79.9
Poland,Male,2015,73.5
Portugal,Male,2015,78.1
Slovak Republic,Male,2015,73.1
Slovenia,Male,2015,77.8
Spain,Male,2015,80.1
Sweden,Male,2015,80.4
Switzerland,Male,2015,80.8
Bulgaria,Male,2015,71.2
Croatia,Male,2015,74.4
Romania,Male,2015,71.4
Austria,FEMALE-MALE,2015,4.9
Belgium,FEMALE-MALE,2015,4.7
Czechia,FEMALE-MALE,2015,5.9
Denmark,FEMALE-MALE,2015,3.9
Estonia,FEMALE-MALE,2015,9.0
Finland,FEMALE-MALE,2015,5.7
France,FEMALE-MALE,2015,6.4
Greece,FEMALE-MALE,2015,5.2
Hungary,FEMALE-MALE,2015,6.7
Iceland,FEMALE-MALE,2015,2.6
Italy,FEMALE-MALE,2015,4.6
Latvia,FEMALE-MALE,2015,9.8
Lithuania,FEMALE-MALE,2015,10.5
Luxembourg,FEMALE-MALE,2015,4.7
Netherlands,FEMALE-MALE,2015,3.3
Poland,FEMALE-MALE,2015,8.1
Portugal,FEMALE-MALE,2015,6.2
Slovak Republic,FEMALE-MALE,2015,7.1
Slovenia,FEMALE-MALE,2015,6.1
Spain,FEMALE-MALE,2015,5.6
Sweden,FEMALE-MALE,2015,3.7
Switzerland,FEMALE-MALE,2015,4.3
Bulgaria,FEMALE-MALE,2015,7.0
Croatia,FEMALE-MALE,2015,6.1
Romania,FEMALE-MALE,2015,7.2
Austria,Male-Female,2015,-4.9
Belgium,Male-Female,2015,-4.7
Czechia,Male-Female,2015,-5.9
Denmark,Male-Female,2015,-3.9
Estonia,Male-Female,2015,-9.0
Finland,Male-Female,2015,-5.7
France,Male-Female,2015,-6.4
Greece,Male-Female,2015,-5.2
Hungary,Male-Female,2015,-6.7
Iceland,Male-Female,2015,-2.6
Italy,Male-Female,2015,-4.6
Latvia,Male-Female,2015,-9.8
Lithuania,Male-Female,2015,-10.5
Luxembourg,Male-Female,2015,-4.7
Netherlands,Male-Female,2015,-3.3
Poland,Male-Female,2015,-8.1
Portugal,Male-Female,2015,-6.2
Slovak Republic,Male-Female,2015,-7.1
Slovenia,Male-Female,2015,-6.1
Spain,Male-Female,2015,-5.6
Sweden,Male-Female,2015,-3.7
Switzerland,Male-Female,2015,-4.3
Bulgaria,Male-Female,2015,-7.0
Croatia,Male-Female,2015,-6.1
Romania,Male-Female,2015,-7.2
Austria,Total,2016,81.8
Belgium,Total,2016,81.5
Czechia,Total,2016,79.1
Denmark,Total,2016,80.9
Estonia,Total,2016,78.0
Finland,Total,2016,81.5
France,Total,2016,82.7
Greece,Total,2016,81.5
Hungary,Total,2016,76.2
Iceland,Total,2016,82.2
Italy,Total,2016,83.4
Latvia,Total,2016,74.9
Lithuania,Total,2016,74.9
Luxembourg,Total,2016,82.7
Netherlands,Total,2016,81.7
Poland,Total,2016,78.0
Portugal,Total,2016,81.3
Slovak Republic,Total,2016,77.3
Slovenia,Total,2016,81.2
Spain,Total,2016,83.5
Sweden,Total,2016,82.4
Switzerland,Total,2016,83.7
Bulgaria,Total,2016,74.9
Croatia,Total,2016,78.2
Romania,Total,2016,75.2
Austria,Female,2016,84.1
Belgium,Female,2016,84.0
Czechia,Female,2016,82.1
Denmark,Female,2016,82.8
Estonia,Female,2016,82.2
Finland,Female,2016,84.4
France,Female,2016,85.8
Greece,Female,2016,84.0
Hungary,Female,2016,79.7
Iceland,Female,2016,84.1
Italy,Female,2016,85.6
Latvia,Female,2016,79.6
Lithuania,Female,2016,80.1
Luxembourg,Female,2016,85.4
Netherlands,Female,2016,83.2
Poland,Female,2016,82.0
Portugal,Female,2016,84.3
Slovak Republic,Female,2016,80.7
Slovenia,Female,2016,84.3
Spain,Female,2016,86.3
Sweden,Female,2016,84.1
Switzerland,Female,2016,85.6
Bulgaria,Female,2016,78.5
Croatia,Female,2016,81.3
Romania,Female,2016,79.0
Austria,Male,2016,79.3
Belgium,Male,2016,79.0
Czechia,Male,2016,76.1
Denmark,Male,2016,79.0
Estonia,Male,2016,73.3
Finland,Male,2016,78.6
France,Male,2016,79.5
Greece,Male,2016,78.9
Hungary,Male,2016,72.6
Iceland,Male,2016,80.4
Italy,Male,2016,81.0
Latvia,Male,2016,69.8
Lithuania,Male,2016,69.5
Luxembourg,Male,2016,80.1
Netherlands,Male,2016,80.0
Poland,Male,2016,73.9
